Question,Category,Difficulty,Answer
Which country is singer Kyary Pamyu Pamyu from?,Entertainment: Music,medium,Japan
Earl Grey tea is black tea flavoured with what?,General Knowledge,medium,Bergamot oil
How many books are in the Chronicles of Narnia series?,Entertainment: Books,medium,7
"Kraft Cheez Whiz contains cheese culture, but doesnt actually contain cheese",General Knowledge,medium,True
"The computer OEM manufacturer Clevo, known for its Sager notebook line, is based in which country?",Science: Computers,medium,Taiwan
How many dots are on a single die?,Entertainment: Board Games,easy,21
The vapor produced by e-cigarettes is actually water.,General Knowledge,medium,False
El Niño pushes warm water to the coasts of the Western Pacific during winter.,Science & Nature,medium,True
Painter Piet Mondrian (1872 - 1944) was a part of what movement?,Art,hard,Neoplasticism
What year did Attack on Titan first air?,Entertainment: Japanese Anime & Manga,easy,2013
"In the 2012 animated film Wolf Children, what are the names of the wolf children?",Entertainment: Japanese Anime & Manga,easy,Ame & Yuki
What is Lilos last name from Lilo and Stitch?,Entertainment: Film,medium,Pelekai
"Linus Pauling, one of the only winners of multiple Nobel Prizes, earned his Nobel Prizes in Chemistry and what?",General Knowledge,medium,Peace
Gannymede is the largest moon of which planet?,Science & Nature,medium,Jupiter
"In Marvel Comics, Taurus is the founder and leader of which criminal organization?",Entertainment: Comics,medium,Zodiac
Who was Tetris created by?,Entertainment: Video Games,medium,Alexey Pajitnov
"In baseball, how many fouls are an out?",Sports,easy,0
"In Calvin and Hobbes, what is the name of Susies stuffed rabbit?",Entertainment: Comics,medium,Mr. Bun
What was the major distinction between the English and French Gothic styles of architecture?,Art,hard,Fan vaulting
How many aces can be shot down through the entirety of Ace Combat Zero: The Belkan War?,Entertainment: Video Games,hard,169
Which fictional English county was the setting for Thomas Hardys novels?,Entertainment: Books,hard,Wessex
Which of the following guitarists recorded an album as a member of the Red Hot Chili Peppers?,Entertainment: Music,medium,Dave Navarro
A cancelled Call Of Duty title would have taken place in ancient Rome.,Entertainment: Video Games,medium,True
How many players are there in an association football/soccer team?,Sports,easy,11
"In Battlestar Galactica (2004), what is the name of the President of the Twelve Colonies?",Entertainment: Television,medium,Laura Roslin
"In the video game franchise Halo, what is the UNSCs main opposing faction called?",Entertainment: Video Games,easy,The Covenant
"In Call of Duty: United Offensive, what two soldiers share a name of a video game character?",Entertainment: Video Games,medium,Gordon & Freeman
Who was given the title Full Metal in the anime series Full Metal Alchemist?,Entertainment: Japanese Anime & Manga,easy,Edward Elric
How many legs is it biologically impossible for a centipede to have?,Science & Nature,hard,100
Tony Hawks Pro Skater was released in 1999.,Entertainment: Video Games,medium,True
The Spitfire originated from a racing plane.,History,easy,True
Who is Soras Nobody in Kingdom Hearts?,Entertainment: Video Games,medium,Roxas
"Which puzzle game was designed by a Russian programmer, featuring Russian buildings and music?",Entertainment: Video Games,medium,Tetris
"Which video game was recalled for containing a hidden, playable South Park episode?",Entertainment: Video Games,hard,Tiger Woods 99 PGA Tour
"In the game Brawlhalla, what species is the character Bödvar is?",Entertainment: Video Games,medium,Half Human / Half Bear
"The British Rail Class 700, Class 707 and the Class 717 are part of what train family?",Vehicles,medium,Desiro City
Approximately how long is a year on Uranus?,Science & Nature,medium,84 Earth years
What scientific family does the Aardwolf belong to?,Animals,hard,Hyaenidae
In which U.S. state is Far Cry 5s fictional setting Hope County located?,Entertainment: Video Games,medium,Montana
What is the symbol for Displacement?,Science: Mathematics,easy,Δr
Which of these is NOT a team available in the game Pokémon Go?,Entertainment: Video Games,easy,Team Rocket
In what year was Pokémon Diamond & Pearl released in Japan?,Entertainment: Video Games,medium,2006
"Which of these bands was a featuring artist in Compton rapper Kendrick Lamars 2017 album, DAMN.?",Entertainment: Music,medium,U2
"In The Lies Of Locke Lamora, what does Lamora mean in Throne Therin?",Entertainment: Books,hard,Shadow
"What was the transfer of disease, crops, and people across the Atlantic shortly after the discovery of the Americas called?",History,medium,The Columbian Exchange
The book Fahrenheit 451 was written by whom?,Entertainment: Books,medium,Ray Bradbury
The surface area of Russia is slightly larger than that of the dwarf planet Pluto.,Geography,medium,True
Which element has the chemical symbol Fe?,Science & Nature,easy,Iron
Matt Damon played an astronaut stranded on an extraterrestrial planet in both of the movies Interstellar and The Martian.,Entertainment: Film,easy,True
Which of these characters is the mascot of the video game company SEGA?,Entertainment: Video Games,easy,Sonic the Hedgehog
What is the largest living species of penguin?,General Knowledge,easy,Emperor
"Joan Cusack starred in the 2009 disaster movie, 2012.",Entertainment: Film,medium,False
Ping-Pong originated in England,General Knowledge,easy,True
Which Roman Emperor led the Roman Empire to reach its maximum territorial extent?,History,medium,Trajan
"Minions was released on the June 10th, 2015.",Entertainment: Film,easy,False
"In the Seven Wonders of the World, which wonder is the only that has survived to this day?",History,hard,Great Pyramid of Giza
An organic compound is considered an alcohol if it has what functional group?,Science & Nature,hard,Hydroxyl
Which Swiss psychologist is synonymous with the concepts of introvert and extrovert personalities?,Science & Nature,medium,Carl Jung
"In Fairy Tail, what is the nickname of Natsu Dragneel?",Entertainment: Japanese Anime & Manga,easy,The Salamander
Unturned originally started as a Roblox game.,Entertainment: Video Games,hard,True
In Kingdom Hearts which of the following people can NOT wield a keyblade?,Entertainment: Video Games,medium,Larxene
In what year was the last natural case of smallpox documented?,History,medium,1977
"Which of these bands was a featuring artist in Compton rapper Kendrick Lamars 2017 album, DAMN.?",Entertainment: Music,medium,U2
"In Calvin and Hobbes, what is the name of the principal at Calvins school?",Entertainment: Comics,medium,Mr. Spittle
On the NBC show Community what was Star Burns real name?,Entertainment: Television,medium,Alex
Shaquille O’Neal has only made one three pointer in his career.,Sports,easy,True
"Which puzzle game was designed by a Russian programmer, featuring Russian buildings and music?",Entertainment: Video Games,medium,Tetris
Neptunes greek name was...,Mythology,medium,Poseidon
"Wendy O. Koopa appeared in the Super Mario DIC Cartoons, but what was she known as?",Entertainment: Cartoon & Animations,easy,Kootie Pie
The first televised presidential debate was between Jimmy Carter and Gerald Ford.,History,medium,False
"Between 1973 to 1990, what country was ruled by dictator Augusto Pinochet?",Politics,medium,Chile
Which Overwatch character says the line Heroes never die!?,Entertainment: Video Games,medium,Mercy
All of the following programs are classified as raster graphics editors EXCEPT:,Science: Computers,medium,Inkscape
"In the beginning of the game Sonic Adventure, what color Chaos Emerald does Tails own?",Entertainment: Video Games,medium,Purple
"During the events of Half-Life: Opposing Force, what is the age of Adrian Shephard, the protagonist?",Entertainment: Video Games,medium,22
"In Magic: The Gathering, what term for blocking was established in the Portal set?",Entertainment: Board Games,hard,Intercepting
The band STRFKR was also briefly known as Pyramiddd.,Entertainment: Music,hard,True
The 1985 Toyota Corolla AE86 was the hero car for what anime? ,Entertainment: Television,medium,Initial D
The “fairy” type made it’s debut in which generation of the Pokemon core series games?,General Knowledge,easy,6th
The scrapped Sonic the Hedgehog 2 level Hidden Palace Zone was later reused in the iOS port of the game. ,Entertainment: Video Games,medium,True
"On average, Americans consume 100 pounds of what per second?",General Knowledge,medium,Chocolate
Rebecca Chambers does not appear in any Resident Evil except for the original Resident Evil and the Gamecube remake.,Entertainment: Video Games,easy,False
"In the 2014 FIFA World Cup, what was the final score in the match Brazil - Germany?",Sports,easy,1-7
"In Full Metal Panic!, Whispered are those who are capable of creating Black Technology.",Entertainment: Japanese Anime & Manga,medium,True
What is the capital of Lithuania?,Geography,medium,Vilnius
"In Star Trek: The Next Generation, what is the name of Datas cat?",Entertainment: Television,easy,Spot
Alaska is the largest state in the United States.,Geography,easy,True
"Which of these symbols can be seen on the shirt of the 1993 video game character, Bubsy T. Bobcat?",Entertainment: Video Games,medium,An exclamation point
Which of the following ancient peoples was NOT classified as Hellenic (Greek)?,History,easy,Illyrians
Which computer hardware device provides an interface for all other connected devices to communicate?,Science: Computers,easy,Motherboard
Who is the true moon princess in Sailor Moon?,Entertainment: Japanese Anime & Manga,easy,Sailor Moon
What year was Super Mario Bros. released?,Entertainment: Video Games,easy,1985
Which of these is NOT a name of a city in the main island of PLAYERUNKNOWNS BATTLEGROUNDS?,Entertainment: Video Games,medium,Belushya Guba
What does hippopotamus mean and in what langauge?,Animals,medium,River Horse (Greek)
"Which company was established on April 1st, 1976 by Steve Jobs, Steve Wozniak and Ronald Wayne?",Science: Computers,easy,Apple
In which year was League of Legends released?,Entertainment: Video Games,easy,2009
Who was the topscorer for England national football team?,Sports,medium,Wayne Rooney
Which company manufactured the iconic TR-808 drum machine?,Science: Gadgets,medium,Roland
In what year did the first The Walking Dead comic come out?,Entertainment: Comics,hard,2003
How many scoring zones are there on a conventional dart board?,Sports,medium,82
What is Everests favorite food in the Nickelodeon/Nick Jr. series PAW Patrol?,Entertainment: Cartoon & Animations,easy,Liver
"In Half-Life 2, if you play the zombies speech in reverse, they actually speak coherent English.",Entertainment: Video Games,medium,True
Mary Shelley is the author of what classic horror story?,Entertainment: Books,medium,Frankenstein
Who was the Prime Minister of the United Kingdom for most of World War II?,History,medium,Winston Churchill
Gothenburg is the capital of Sweden.,Geography,medium,False
Which kind of algorithm is Ron Rivest not famous for creating?,Science: Computers,hard,Secret sharing scheme
Which of the following songs was not originally released by Sir Elton John? ,Entertainment: Music,easy,Youll Be In My Heart
What is the largest animal currently on Earth?,Science & Nature,easy,Blue Whale
What is the name of the very first video uploaded to YouTube?,General Knowledge,medium,Me at the zoo
The chemical element Lithium is named after the country of Lithuania.,Science & Nature,hard,False
The term Spam came before the food product Spam.,General Knowledge,medium,False
Who is Manchester Uniteds leading appearance maker?,Sports,hard,Ryan Giggs
"In Big Hero 6, what fictional city is the Big Hero 6 from?",Entertainment: Film,easy,San Fransokyo
"What was the name of Captain Nemos submarine in 20,000 Leagues Under the Sea?",Entertainment: Books,easy,The Nautilus
Which Perk-A-Cola in Call Of Duty: Zombies was reworked in Call of Duty: Black Ops II?,Entertainment: Video Games,medium,Double Tap Root Beer
"When was the United States National Security Agency established?,History",medium,November 4, 1952
The average woman is 5 inches / 13 centimeters shorter than the average man.,General Knowledge,medium,True
"Adolf Hitler was born on which date?,History",medium,April 20, 1889
Which of these games was NOT a Nintendo Switch launch title in the United States? ,Entertainment: Video Games,medium,Voez
Leonardo da Vincis Mona Lisa does not have eyebrows.,Art,easy,True
"According to DeMorgans Theorem, the Boolean expression (AB) is equivalent to:",Science: Computers,hard,A + B
Which of the following commercial vehicles from Grand Theft Auto IV did NOT reappear in Grand Theft Auto V?,Entertainment: Video Games,hard,Steed
Which NBA player won Most Valuable Player for the 1999-2000 season?,Sports,medium,Shaquille ONeal
Who was the first president of the United States?,History,easy,George Washington
Who is the original author of the realtime physics engine called PhysX?,Science: Computers,hard,NovodeX
Which of these is NOT a song by Pegboard Nerds?,Entertainment: Music,medium,WiFi Tears
What is the name of the three headed dog in Harry Potter and the Sorcerers Stone?,Entertainment: Books,easy,Fluffy
E = MC3,Science: Mathematics,medium,False
"Valve Corporation is an American video game developer located in which city?,Entertainment: Video Games",easy,Bellevue, Washington
Who had a 1973 hit with the song Hocus Pocus?,Entertainment: Music,medium,Focus
Which of the following games in the The Legend of Zelda franchise was released in Japan before North America?,Entertainment: Video Games,hard,The Legend of Zelda: The Minish Cap
Gannymede is the largest moon of which planet?,Science & Nature,medium,Jupiter
The 2011 movie The Adventures of Tintin was directed by Steven Spielberg.,Entertainment: Music,easy,True
Which one of these Mortal Kombat characters has been playable in every single mainline game?,Entertainment: Video Games,medium,Sub-Zero
The protagonist of Dead Rising 3 is called Chuck Greene.,Entertainment: Video Games,easy,False
What was the title of ABBA`s first UK hit single?,Entertainment: Music,medium,Waterloo
"In Haikyuu!!, who is not a member of Karasuno VBC?",Entertainment: Japanese Anime & Manga,medium,Shigeru Yahaba
The walls of the Goldenrod City Gym in Pokémon Gold and Silver are arranged in the shape of which Pokémon?,Entertainment: Video Games,medium,Clefairy
Which variant of the MP5 is depicted in Counter-Strike 1.6?,Entertainment: Video Games,hard,MP5N
Which character does voice actress Tara Strong NOT voice?,Entertainment: Television,medium,Bubbles (2016)
"In Need for Speed: Most Wanted (2005), what was the name of the main antagonist?",Entertainment: Video Games,easy,Clarence Razor Callahan
How many sonatas did Ludwig van Beethoven write?,History,hard,32
What is the name of the Japanese art of folding paper into decorative shapes and figures?,Art,easy,Origami
The crown of the Empire State Building was originally built for what purpose?,History,medium,Airship Dock
"In World of Warcraft lore,  how many siblings does Sylvanas Windrunner have?",Entertainment: Video Games,medium,3
What song includes the words Numa Numa which was subject to a Viral Video in 2004?,Entertainment: Music,hard,Dragostea Din Tei
"Named after a character he played in a 1969 film, what is the name of the ski resort in Utah that Robert Redford bought in 1968?",Celebrities,easy,Sundance
Laserjet and inkjet printers are both examples of what type of printer?,Science: Computers,medium,Non-impact printer
Who painted The Starry Night?,Art,easy,Vincent van Gogh
"In Halo, what is the name of the planet which Installation 04 orbits?",Entertainment: Video Games,hard,Threshold
Rocket League is a game which features..,Entertainment: Video Games,easy,Cars
The minigun was designed in 1960 by which manufacturer.,History,medium,General Electric
In 1547 who became the 1st Tsar of Russia,History,hard,Ivan the Terrible
The Tiananmen Square protests of 1989 were held in Hong Kong.,History,easy,False
"Which cartoon family lives in 31 Spooner Street, Quahog, Rhode Island USA?",Entertainment: Cartoon & Animations,hard,The Griffins
Who is the director of the 1991 film Silence of the Lambs?,Entertainment: Film,medium,Jonathan Demme
Which of these Cherry MX mechanical keyboard switches is both tactile and clicky?,Science: Computers,hard,Cherry MX Blue
Which actresss real name was Frances Ethel Gumm?,Celebrities,medium,Judy Garland
Which of the following is an album by punk rock band Anti-Flag?,Entertainment: Music,easy,For Blood And Empire
"In vanilla Minecraft, which of the following cannot be made into a block?",Entertainment: Video Games,easy,Charcoal
What device allows Tracer to manipulate her own time in the game Overwatch?,Entertainment: Video Games,hard,Chronal Accelerator
"In the Scoville scale, what is the hottest chemical?",Science & Nature,hard,Resiniferatoxin
British actor David Morrissey stars as which role in The Walking Dead?,Entertainment: Television,easy,The Governor
What programming language was used to create the game Minecraft?,Entertainment: Video Games,hard,Java
Which game did Sonic The Hedgehog make his first appearance in?,Entertainment: Video Games,easy,Rad Mobile
What city did the Lakers represent before relocating to Los Angeles?,Sports,medium,Minneapolis
Which African American is in part responsible for integrating  Major League baseball?,Sports,easy,Jackie Robinson
Which English county will you find the University of East Anglia?,Geography,medium,Norfolk
What was the name of the rock band that Nobuo Uematsu formed that played songs from various Final Fantasy games?,Entertainment: Music,hard,The Black Mages
"In Norse Mythology, Baldr was killed by Loki with a magical spear made from what plant?",Mythology,medium,Mistletoe
"When was Final Fantasy XV released?,Entertainment: Video Games",medium,November 29th, 2016
Which of the following ancient Near Eastern peoples still exists as a modern ethnic group?,History,medium,Assyrians
In which English county is the city of Portsmouth?,Geography,medium,Hampshire
What was The Velvet Undergrounds first album called?,Entertainment: Music,medium,The Velvet Underground & Nico
"In Overwatch, what is the hero McCrees full name?",Entertainment: Video Games,medium,Jesse McCree
"In Minecraft, which two items must be combined to craft a torch?",Entertainment: Video Games,easy,Stick and Coal
"All the Boys by Panic! At the Disco was released as a bonus track on what album?,Entertainment: Music",hard,Too Weird To Live, Too Rare To Die!
What nationality was the surrealist painter Salvador Dali?,Art,medium,Spanish
In AMCs TV Series The Walking Dead what are Zombies referred to as?,Entertainment: Television,easy,Walkers
Dee from Its Always Sunny in Philadelphia has dated all of the following guys EXCEPT,Entertainment: Television,medium,Matthew Rickety Cricket Mara
"In Norse mythology, what is the name of the serpent which eats the roots of the ash tree Yggdrasil?",Mythology,hard,Nidhogg
"According to Toby Fox, what was the method to creating the initial tune for Megalovania?",Entertainment: Video Games,hard,Singing into a Microphone
"In the game Nuclear Throne, what organization chases the player character throughout the game?",Entertainment: Video Games,hard,The I.D.P.D
Super Mario Bros. was the first video game ever created.,Entertainment: Video Games,easy,False
The main character in the Half-Life franchise is named Morgan Freeman.,Entertainment: Video Games,easy,False
Which European city has the highest mileage of canals in the world?,Geography,medium,Birmingham
What mytological creatures have womens faces and vultures bodies?,Mythology,easy,Harpies
"How long are all the cutscenes from Metal Gear Solid 4 (PS3, 2008) combined?",Entertainment: Video Games,hard,8 hours
The Battle of Hastings was fought in which year?,History,hard,1066
What character in the Winnie the Pooh films was added by Disney and does not appear in the original books?,Entertainment: Film,medium,Gopher
In what year was the Oculus Rift revealed to the public through a Kickstarter campaign?,Science: Gadgets,medium,2012
The novel Of Mice And Men was written by what author? ,Entertainment: Books,medium,John Steinbeck
What was the last Aphex Twin album released before his decade-long hiatus?,Entertainment: Music,hard,Drukqs
The Olympics tennis court is a giant green screen.,Sports,medium,True
Which of the following films was NOT directed by Hayao Miyazaki?,Entertainment: Japanese Anime & Manga,medium,Wolf Children
"Before becoming the Autobot leader, Optimus Prime was known by what name on Cybertron?",Entertainment: Cartoon & Animations,medium,Orion Pax
Why was the character Trevor Philips discharged from the Air Force?,Entertainment: Video Games,hard,Mental Health Issues
Cats have whiskers under their legs.,Animals,easy,True
Which one of the following is not made by Ford?,Vehicles,medium,Camry
"When was the Declaration of Independence approved by the Second Continental Congress?,General Knowledge",medium,July 4, 1776
Who wrote A Tale of Two Cities?,Entertainment: Books,easy,Charles Dickens
Which of these is the only fighter in the game Super Smash Bros. Melee capable of dealing damage with their taunt animation?,Entertainment: Video Games,medium,Luigi
Which of these is NOT the name of an album released by Miami-based producer DJ Khaled?,Entertainment: Music,medium,Dont Ever Play Yourself
Complete the following analogy: Audi is to Volkswagen as Infiniti is to ?,Vehicles,medium,Nissan
The cake depicted in Valves Portal franchise most closely resembles which real-world type of cake?,Entertainment: Video Games,medium,Black Forest
Ottawa is the capital of Canada.,Geography,easy,True
When was System Shock released?,Entertainment: Video Games,medium,1994
What was the name of the WWF professional wrestling tag team made up of the wrestlers Ax and Smash?,General Knowledge,easy,Demolition
"In Resident Evil 3, how many inventory slots does Jill have at the start of the game?",General Knowledge,hard,8
Who in this list is one of the co-founders of Valve?,Entertainment: Video Games,easy,Gabe Newell
What do you study if you are studying entomology?,Science & Nature,medium,Insects
Directly between the Washington Monument and the Reflecting Pool is a memorial to which war?,General Knowledge,medium,World War II
What is the last line muttered in the anime film The End of Evangelion?,Entertainment: Japanese Anime & Manga,hard,How disgusting.
"In Team Fortress 2, which class wields a shotgun?",Entertainment: Video Games,medium,Everyone Listed
How many time zones are in Russia?,Geography,medium,11
Who is a pioneer of Minimal Music in 1960s?,Entertainment: Music,hard,Steve Reich
"In a standard game of Monopoly, what colour are the two cheapest properties?",Entertainment: Board Games,easy,Brown
Windows NT is a monolithic kernel.,Science: Computers,medium,False
Gumbo is a stew that originated in Louisiana.,General Knowledge,easy,True
Sound can travel through a vacuum.,Science & Nature,medium,False
"In which Shakespeare play does the character Marcellus say, Something is rotten in the state of Denmark?",Entertainment: Musicals & Theatres,medium,Hamlet
What is the capital of Mauritius?,Geography,hard,Port Louis
What is the name of the race horse that Tony Soprano becomes attached to?,Entertainment: Television,medium,Pie-O-My
"In JoJos Bizarre Adventure, which character is able to accelerate time?",Entertainment: Japanese Anime & Manga,medium,Enrico Pucci
Which major extinction event was caused by an asteroid collision and eliminated the majority of non-avian dinosaurs?,Science & Nature,hard,Cretaceous-Paleogene
"In the book series Odd Thomas, Danny Jessup has what genetic disease? ",Entertainment: Books,hard, Osteogenesis Imperfecta
Which king was killed at the Battle of Bosworth Field in 1485? ,History,medium,Richard III
"In Call of Duty: United Offensive, what two soldiers share a name of a video game character?",Entertainment: Video Games,medium,Gordon & Freeman
Which of these countries was NOT a part of the Soviet Union?,History,medium,Afghanistan
Which Las Vegas casino was originally constructed and operated by mobster Bugsy Siegel?,History,medium,The Flamingo
What song on ScHoolboy Qs album Black Face LP featured Kanye West?,Entertainment: Music,medium,THat Part
What is the primary purpose of the Fourth Amendment to the US Constitution?,Politics,medium,Preventing unreasonable searches and seizures
"In Need For Speed: Most Wanted (2005), how many people are there to defeat on the blacklist?",Entertainment: Video Games,medium,15
Which singer is portrayed by Bruce Campbell in the 2002 film Bubba Ho-Tep?,Entertainment: Film,hard,Elvis Presley
"The Ceratosaurus, a dinosaur known for having a horn on the top of its nose, is also known to be a decendent of the Tyrannosaurus Rex.",Animals,medium,False
"What common name is given to the medial condition, tibial stress syndrome (MTSS)?",Science & Nature,hard,Shin Splints
Which gas forms about 78% of the Earth’s atmosphere?,Science & Nature,easy,Nitrogen
Which Nation did NOT have a Colony in modern-day North America?,History,medium,Portugal
What country is not a part of Scandinavia?,Geography,hard,Finland
Rollercoaster Tycoon was programmed mostly entirely in...,Entertainment: Video Games,medium,x86 Assembly
"In a 1994 CBS interview, Microsoft co-founder Bill Gates performed what unusual trick on camera?",General Knowledge,medium,Jumping over an office chair
Earth is located in which galaxy?,General Knowledge,easy,The Milky Way Galaxy
"Harry Potter was born on July 31st, 1980.",Entertainment: Books,hard,True
"What genre of EDM is the Dutch DJ, musician, and remixer Armin van Buuren most well-known for?",Entertainment: Music,medium,Trance
A doctor with a PhD is a doctor of what?,General Knowledge,medium,Philosophy
Which former US president used Lets Make America Great Again as his campaign slogan before Donald Trumps campaign?,Politics,medium,Ronald Reagan
"Myoui Mina, member of Korean girl group TWICE, was born in South Korea, despite being Japanese.",Entertainment: Music,hard,False
Who sang the theme song for the TV show Rawhide?,Entertainment: Television,medium,Frankie Laine
What was the year of estabilishment of the Bari Italian Football Club?,Sports,easy,1908
Which English football club has the nickname The Foxes?,Sports,easy,Leicester City
All of the following countries have official claims to territory in Antartica EXCEPT:,Geography,medium,United States
In what year did US band Weezer release Weezer (The White Album)?,Entertainment: Music,medium,2016
Seoul is the capital of North Korea.,Geography,medium,False
What is the name of the Greek god of peaceful deaths?,Mythology,medium,Thanatos
"In Need for Speed: Most Wanted (2005), what was the name of the main antagonist?",Entertainment: Video Games,easy,Clarence Razor Callahan
The Singing Cowboy Gene Autry is credited with the first recording for all but which classic Christmas jingle?,Entertainment: Music,easy,White Christmas
Helen Clark was the 37th Prime Minister of Australia.,Politics,medium,False
The General Motors EV1 was the first street-legal production electric vehicle.,Vehicles,medium,False
What name represents the letter M in the NATO phonetic alphabet?,General Knowledge,medium,Mike
Which king was killed at the Battle of Bosworth Field in 1485? ,History,medium,Richard III
Hel was the daughter of which Norse Mythological figure?,Mythology,medium,Loki
Who is the only US president to serve two non-consecutive terms in office?,Politics,hard,Grover Cleveland
What was the first successful and commercially viable photographic technique?,Art,hard,The Daguerreotype
Which of these cities is NOT featured in the Pandemic board game?,Entertainment: Board Games,hard,Berlin
"Which of the following films was Don Bluth both the writer, director, and producer for?",Entertainment: Cartoon & Animations,hard,All Dogs Go To Heaven
Which member of the English band The xx released their solo album In Colour in 2015?,Entertainment: Music,hard,Jamie xx
"What does the term isolation refer to in microbiology?,Science & Nature",hard,The separation of a strain from a natural, mixed population of living microbes
Who painted the Mona Lisa?,Art,easy,Leonardo da Vinci
The Battle of Hastings was fought in which year?,History,hard,1066
Who was the Director of the 1988 Anime film Grave of the Fireflies?,Entertainment: Japanese Anime & Manga,hard,Isao Takahata
Which greek god/goddess tossed a golden apple with the words for the fairest into the middle of the feast of the gods?,Mythology,medium,Eris
How many obsidian blocks are required to build a nether portal in Minecraft?,Entertainment: Video Games,easy,10
Which of the following blood vessels carries deoxygenated blood?,Science & Nature,easy,Pulmonary Artery
Frank Lloyd Wright was the architect behind what famous building?,General Knowledge,medium,The Guggenheim
Which U.S. president is said to have had the longest beard?,Politics,medium,Rutherford B. Hayes
What event marked the start of World War II?,History,medium,Invasion of Poland (1939)
Shrimp can swim backwards.,Science & Nature,medium,True
In which countrys version of Half-Life are the HECU Marines replaced with robots?,Entertainment: Video Games,medium,Germany
"In Starbound, according to the asset files, the description of the Erchius Ghost is the same as which other assets?",Entertainment: Video Games,hard,Spookit
Pluto is a planet.,General Knowledge,easy,False
"What is the last song on the first Panic! At the Disco album?,Entertainment: Music",medium,Build God, Then Well Talk
Which one of these characters appeared in Marvel vs Capcom: Infinite? ,Entertainment: Video Games,hard,Firebrand
Whistler was the codename of this Microsoft Operating System.,Science: Computers,medium,Windows XP
How many classes are there in Team Fortress 2?,Entertainment: Video Games,medium,9
The main objective of the German operation Case Blue during World War II was originally to capture what?,History,hard,Caucasus
What is the correct spelling of the protagonist of the book in The NeverEnding Story (1984)?,Entertainment: Film,medium,Atreyu
Which of these stages is not playable in Super Smash Bros. for Wii U?,Entertainment: Video Games,medium,Fountain of Dreams
"In Roman Numerals, what does XL equate to?",Science: Mathematics,easy,40
What are human nails made of?,Science & Nature,medium,Keratin
The D in the term D-Mail from the game Steins; Gate is short for what?,Entertainment: Video Games,hard,DeLorean
"In Overwatch, how old is Reinhardt Wilhelm?",Entertainment: Video Games,medium,61
Who sang the theme song for the TV show Rawhide?,Entertainment: Television,medium,Frankie Laine
What car manufacturer gave away their patent for the seat-belt in the interest of saving lives?,Vehicles,hard,Volvo
"What is the correct order of operations for solving equations?,Science: Mathematics,easy,Parentheses, Exponents, Multiplication", Division, Addition, Subtraction
What was the code name for the German invasion of the Soviet Union in WW2?,History,medium,Operation Barbarossa
The novel Jane Eyre was written by what author? ,Entertainment: Books,hard,Charlotte Brontë
The words bungalow and shampoo originate from the languages of which country?,General Knowledge,hard,India
What is the official language of Brazil?,General Knowledge,easy,Portuguese
The Queen song `A Kind Of Magic` is featured in which 1986 film?,Entertainment: Film,easy,Highlander
Which one of these characters is NOT a playable fighter in Super Smash Bros. Ultimate?,Entertainment: Video Games,easy,Kumatora
"In CSS, which of these values CANNOT be used with the position property?",Science: Computers,medium,center
Which supercar company is from Sweden?,Vehicles,medium,Koenigsegg
